                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7842,                 1.7819,                 1.4001,                0.39323,                0.25668,                0.23489,                0.10915,                 2.0234,                 1.9442,                 1.5158,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.7684,                 1.7364,                 1.3883,                0.48133,                0.27956,                 0.2476,                0.11466,                 2.0208,                 1.9141,                 1.5338,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.7732,                 1.7725,                 1.3936,                0.38312,                0.27684,                0.24461,                0.11339,                 2.0059,                 1.9644,                 1.5077,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.7601,                 1.7357,                 1.3794,                0.57688,                0.25262,                0.24758,                0.10736,                 2.0126,                 1.9854,                 1.5058,               0.009109,               0.009109,               0.009109
                     39,                 1.7722,                 1.7446,                 1.3877,                0.39688,                0.27741,                0.23557,                 0.1074,                  2.021,                 2.0093,                   1.53,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.7565,                  1.691,                  1.381,                0.41325,                0.26341,                0.24019,                0.10783,                 2.0291,                 2.0449,                 1.5268,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.7432,                 1.6912,                 1.3844,                0.52874,                  0.288,                0.25308,                0.11617,                 1.9941,                 2.0293,                 1.5158,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.7302,                 1.6587,                 1.3775,                0.51103,                0.25683,                0.24155,                0.11151,                  2.022,                 1.9427,                 1.5441,                0.00901,                0.00901,                0.00901
                     43,                 1.7271,                 1.6475,                  1.383,                0.52571,                0.27215,                 0.2556,                0.12356,                 1.9985,                 1.9489,                  1.532,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.7205,                 1.6268,                 1.3669,                 0.5551,                 0.2555,                0.25628,                0.12177,                 2.0265,                  1.857,                 1.5289,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.7201,                 1.6005,                 1.3608,                0.54115,                0.27495,                0.25696,                 0.1268,                 1.9938,                 1.9176,                 1.5067,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.7041,                 1.5986,                 1.3512,                0.53241,                0.30651,                0.27051,                 0.1304,                 2.0193,                 1.8128,                  1.513,               0.008911,               0.008911,               0.008911
                     47,                 1.6977,                 1.5571,                 1.3542,                0.53025,                0.28512,                0.27013,                0.12337,                 2.0229,                 1.8008,                 1.4936,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.7156,                 1.5767,                 1.3469,                0.53466,                0.25325,                0.24257,                0.11262,                 2.0201,                 1.8805,                 1.5106,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.7035,                 1.5737,                 1.3533,                0.59417,                0.25747,                0.24792,                0.11875,                 2.0152,                 1.9762,                 1.5216,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.6784,                 1.5311,                 1.3456,                0.57126,                0.26051,                0.25932,                0.12747,                 1.9814,                 1.9129,                 1.5105,               0.008812,               0.008812,               0.008812
                     51,                 1.6985,                 1.5245,                 1.3473,                0.62604,                0.27728,                0.26594,                0.12689,                 1.9879,                  1.959,                  1.523,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.6836,                 1.5006,                 1.3339,                0.55004,                0.28293,                0.26948,                0.13095,                 1.9758,                 1.8569,                  1.489,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.6705,                 1.4857,                 1.3295,                0.49898,                0.26139,                 0.2828,                0.13559,                 1.9661,                 1.8553,                 1.4924,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.6583,                 1.4734,                 1.3287,                0.59644,                0.26971,                 0.2763,                0.13205,                 1.9552,                  1.804,                 1.4673,               0.008713,               0.008713,               0.008713
                     55,                  1.666,                 1.4762,                 1.3194,                    0.5,                0.30839,                0.29787,                 0.1436,                 1.9536,                   1.84,                 1.4567,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.6356,                 1.4356,                 1.3107,                0.54573,                0.29447,                0.27103,                0.12968,                 1.9525,                 1.8685,                 1.4699,              0.0086635,              0.0086635,              0.0086635
                     57,                  1.656,                 1.4619,                 1.3262,                0.52581,                0.27666,                0.27122,                0.12979,                 1.9541,                 1.8381,                 1.4756,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.6519,                 1.4412,                 1.3144,                0.60053,                 0.2916,                 0.2778,                0.13063,                 2.0013,                 1.8462,                 1.5046,               0.008614,               0.008614,               0.008614
                     59,                 1.6522,                 1.4448,                 1.3214,                0.55842,                0.27745,                0.27377,                 0.1309,                 1.9907,                 1.8179,                 1.4949,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.6356,                 1.4093,                 1.2998,                0.39673,                0.31276,                0.28335,                0.13424,                 2.0072,                 1.7932,                 1.4906,              0.0085645,              0.0085645,              0.0085645
                     61,                  1.622,                 1.3805,                 1.3101,                0.56917,                0.31056,                0.30011,                0.13786,                  2.013,                  1.895,                 1.5215,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.6074,                 1.3822,                 1.2993,                0.47294,                0.31581,                0.30626,                0.14274,                 2.0068,                 1.7764,                 1.5206,               0.008515,               0.008515,               0.008515
                     63,                 1.6058,                 1.3554,                 1.2965,                0.61813,                 0.2851,                0.28763,                0.13739,                  1.986,                 1.8441,                 1.4972,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.6314,                 1.4004,                  1.302,                0.58775,                0.34495,                0.29833,                0.14453,                 2.0244,                  1.807,                 1.5151,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.6105,                 1.3491,                 1.2915,                0.61739,                0.32315,                0.31195,                0.15266,                 1.9906,                 1.8503,                 1.4877,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.6159,                  1.349,                 1.2957,                0.59088,                0.29185,                0.27442,                  0.133,                 2.0013,                 1.8196,                 1.5112,               0.008416,               0.008416,               0.008416
                     67,                 1.6067,                 1.3507,                 1.2913,                0.45805,                0.27543,                0.27298,                0.13101,                 1.9861,                 1.8452,                 1.4709,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.5862,                 1.3048,                 1.2769,                0.57859,                0.31787,                 0.2971,                0.14905,                 2.0095,                 1.8728,                 1.5222,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.5923,                 1.3382,                 1.2788,                0.62304,                0.27315,                0.27715,                0.12887,                 2.0037,                 1.8526,                 1.4823,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.5948,                 1.3075,                  1.285,                0.60516,                0.29056,                0.29361,                0.14153,                 2.0072,                 1.7654,                 1.5127,               0.008317,               0.008317,               0.008317
                     71,                 1.5821,                 1.2977,                 1.2766,                0.59877,                0.27292,                0.27394,                0.13087,                 2.0089,                 1.7513,                 1.5029,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.5876,                 1.2846,                 1.2735,                0.63228,                0.26255,                0.28667,                0.14224,                 2.0086,                 1.8725,                 1.4934,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.5845,                 1.2975,                 1.2812,                0.47859,                0.30754,                0.28741,                0.14715,                 2.0003,                  1.831,                  1.485,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.5756,                 1.2826,                 1.2687,                0.51428,                0.28967,                0.28891,                0.13947,                 2.0067,                 1.8788,                 1.4851,               0.008218,               0.008218,               0.008218
                     75,                 1.5674,                 1.2534,                 1.2653,                 0.4724,                0.29139,                  0.286,                0.13744,                 1.9872,                 1.8327,                 1.4779,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.5545,                 1.2568,                 1.2613,                 0.4972,                0.27549,                0.27628,                0.13476,                  1.971,                 1.8229,                 1.4785,              0.0081685,              0.0081685,              0.0081685
                     77,                 1.5711,                 1.2546,                 1.2622,                0.56128,                0.30917,                0.29013,                0.14174,                 1.9635,                 1.8495,                 1.4975,              0.0081437,              0.0081437,              0.0081437
                     78,                 1.5533,                  1.229,                 1.2599,                0.64044,                0.26514,                0.29225,                0.14563,                 1.9623,                 1.7887,                 1.4895,               0.008119,               0.008119,               0.008119
                     79,                 1.5503,                 1.2431,                 1.2602,                0.58839,                0.33604,                0.31853,                0.15226,                 1.9596,                 1.8378,                 1.4858,              0.0080942,              0.0080942,              0.0080942
                     80,                 1.5325,                 1.2046,                 1.2489,                  0.534,                0.28516,                0.29724,                0.14318,                 1.9707,                 1.8362,                 1.4913,              0.0080695,              0.0080695,              0.0080695
                     81,                  1.521,                 1.1985,                 1.2488,                   0.43,                0.34437,                0.28768,                0.13823,                 2.0116,                 1.8408,                 1.5138,              0.0080447,              0.0080447,              0.0080447
                     82,                 1.5645,                 1.2255,                 1.2544,                0.45494,                0.31349,                0.29492,                0.14651,                 1.9752,                 1.7923,                 1.4711,                0.00802,                0.00802,                0.00802
                     83,                 1.5274,                 1.2038,                 1.2436,                0.46943,                0.30831,                0.29597,                 0.1379,                 1.9602,                 1.8074,                 1.4889,              0.0079953,              0.0079953,              0.0079953
                     84,                 1.5113,                 1.1756,                 1.2362,                0.57973,                 0.3431,                0.31149,                0.15044,                 1.9909,                 1.8213,                 1.5011,              0.0079705,              0.0079705,              0.0079705
                     85,                  1.524,                 1.1882,                 1.2474,                0.58819,                0.30042,                0.30008,                0.14041,                 1.9963,                 1.8133,                 1.4773,              0.0079457,              0.0079457,              0.0079457
                     86,                 1.5303,                 1.1797,                 1.2389,                0.58175,                0.33199,                0.30957,                0.14813,                 2.0071,                 1.7652,                 1.4888,               0.007921,               0.007921,               0.007921
                     87,                 1.5219,                 1.1846,                 1.2462,                0.58424,                0.33831,                0.30809,                0.15462,                 1.9771,                 1.8835,                 1.4776,              0.0078963,              0.0078963,              0.0078963
                     88,                  1.532,                 1.1694,                 1.2458,                0.50969,                0.34528,                0.33047,                0.15806,                 1.9944,                  1.786,                 1.4957,              0.0078715,              0.0078715,              0.0078715
                     89,                 1.4982,                 1.1602,                  1.231,                0.59664,                0.32198,                0.30682,                0.15322,                 1.9497,                 1.7796,                 1.4751,              0.0078467,              0.0078467,              0.0078467
                     90,                 1.5188,                 1.1652,                 1.2349,                0.58956,                0.33465,                0.31952,                0.15336,                 1.9582,                 1.7628,                  1.482,               0.007822,               0.007822,               0.007822
                     91,                 1.4884,                 1.1383,                  1.227,                0.53716,                0.34699,                0.30164,                0.14516,                 1.9673,                 1.8171,                  1.505,              0.0077973,              0.0077973,              0.0077973
                     92,                 1.4981,                  1.133,                 1.2285,                0.56756,                0.35909,                0.30733,                0.14299,                 1.9713,                 1.8454,                 1.4732,              0.0077725,              0.0077725,              0.0077725
                     93,                 1.5039,                 1.1487,                 1.2274,                0.64906,                0.31388,                0.31822,                0.15533,                  1.961,                 1.7512,                 1.4726,              0.0077478,              0.0077478,              0.0077478
                     94,                 1.4935,                 1.1288,                 1.2269,                0.60248,                0.32604,                0.31666,                0.15419,                 1.9922,                 1.8007,                 1.4984,               0.007723,               0.007723,               0.007723
                     95,                 1.4986,                 1.1361,                 1.2208,                0.60742,                0.36859,                0.33258,                0.16026,                 1.9772,                 1.7923,                 1.4911,              0.0076983,              0.0076983,              0.0076983
                     96,                 1.4761,                 1.1293,                 1.2153,                0.65619,                0.30303,                0.30803,                0.15081,                 2.0061,                 1.8445,                 1.5075,              0.0076735,              0.0076735,              0.0076735
                     97,                 1.4934,                 1.1438,                 1.2223,                0.58613,                0.36593,                0.32624,                0.16264,                 1.9637,                 1.7855,                 1.4845,              0.0076488,              0.0076488,              0.0076488
                     98,                 1.4891,                 1.1354,                 1.2267,                0.65929,                0.29878,                0.31953,                0.15492,                 1.9939,                 1.8058,                 1.5098,               0.007624,               0.007624,               0.007624
                     99,                 1.4779,                 1.1157,                 1.2073,                0.60949,                0.32373,                0.31301,                0.15607,                 1.9628,                 1.7875,                 1.4857,              0.0075993,              0.0075993,              0.0075993
                    100,                  1.474,                 1.1108,                 1.2149,                0.58317,                0.32051,                0.30611,                0.15798,                 1.9546,                 1.8184,                 1.4746,              0.0075745,              0.0075745,              0.0075745
                    101,                  1.482,                 1.1124,                  1.217,                0.60613,                0.33858,                0.31435,                0.15417,                 1.9836,                  1.812,                 1.5048,              0.0075498,              0.0075498,              0.0075498
                    102,                  1.457,                 1.0912,                 1.2054,                0.63626,                0.33641,                0.32647,                 0.1569,                 1.9959,                 1.8226,                 1.5241,               0.007525,               0.007525,               0.007525
                    103,                 1.4632,                 1.1042,                 1.2084,                0.64063,                0.29148,                0.30487,                0.14721,                 1.9836,                 1.9262,                  1.514,              0.0075003,              0.0075003,              0.0075003
                    104,                 1.4469,                 1.0683,                 1.1979,                0.66023,                 0.3087,                0.30463,                0.15029,                 1.9897,                 1.8745,                   1.52,              0.0074755,              0.0074755,              0.0074755
                    105,                 1.4524,                 1.0749,                 1.2034,                0.65482,                0.29453,                0.30878,                0.15282,                 1.9747,                 1.8545,                 1.4971,              0.0074507,              0.0074507,              0.0074507
                    106,                  1.465,                 1.0746,                 1.2023,                0.71077,                0.28852,                0.32393,                0.15707,                 1.9605,                 1.8464,                 1.5054,               0.007426,               0.007426,               0.007426
                    107,                 1.4529,                 1.0888,                 1.2066,                0.62192,                0.34461,                0.33165,                0.15853,                 1.9764,                 1.7996,                 1.5085,              0.0074013,              0.0074013,              0.0074013
                    108,                 1.4363,                 1.0696,                 1.1923,                0.61694,                0.35817,                0.33004,                0.16548,                 1.9656,                  1.766,                 1.4936,              0.0073765,              0.0073765,              0.0073765
                    109,                 1.4345,                 1.0486,                 1.1938,                0.62439,                 0.3024,                0.30724,                 0.1545,                 1.9801,                 1.8775,                 1.5023,              0.0073517,              0.0073517,              0.0073517
                    110,                 1.4593,                 1.0816,                 1.2082,                0.59277,                 0.3546,                0.32892,                0.16404,                 1.9858,                 1.8206,                  1.513,               0.007327,               0.007327,               0.007327
                    111,                  1.435,                 1.0478,                 1.1978,                0.65897,                0.31406,                0.32088,                0.15224,                  1.998,                 1.7877,                 1.4945,              0.0073023,              0.0073023,              0.0073023
                    112,                 1.4268,                 1.0555,                 1.1879,                0.63718,                0.32132,                0.33095,                0.16577,                 1.9866,                 1.7928,                 1.5124,              0.0072775,              0.0072775,              0.0072775
