                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.3316,                0.92522,                 1.1378,                0.66864,                0.34058,                0.33557,                0.16569,                 1.9547,                 1.8078,                 1.4823,              0.0062875,              0.0062875,              0.0062875
                    153,                 1.3145,                0.90299,                 1.1339,                0.64932,                0.32808,                0.32414,                0.15746,                 1.9764,                 1.8166,                 1.5002,              0.0062628,              0.0062628,              0.0062628
                    154,                 1.3484,                0.92779,                 1.1397,                0.63531,                0.33713,                0.31316,                0.15047,                 1.9856,                 1.8271,                 1.4979,               0.006238,               0.006238,               0.006238
                    155,                 1.3132,                0.89266,                 1.1258,                0.65867,                0.32691,                0.32232,                  0.157,                 1.9807,                 1.7693,                 1.4922,              0.0062132,              0.0062132,              0.0062132
                    156,                 1.3203,                0.90627,                 1.1361,                0.63275,                0.32345,                0.31403,                0.15484,                 1.9785,                 1.7716,                 1.5082,              0.0061885,              0.0061885,              0.0061885
                    157,                 1.3129,                0.90023,                 1.1269,                0.60099,                0.32175,                0.31031,                0.15135,                 1.9791,                 1.8132,                  1.503,              0.0061637,              0.0061637,              0.0061637
                    158,                 1.3012,                0.89581,                 1.1245,                0.65561,                0.32839,                0.32309,                0.15661,                 1.9978,                 1.7877,                 1.5135,               0.006139,               0.006139,               0.006139
                    159,                 1.3131,                0.89614,                 1.1298,                0.58055,                0.34192,                0.31328,                0.15262,                 2.0062,                 1.7624,                 1.5269,              0.0061142,              0.0061142,              0.0061142
                    160,                 1.3011,                0.89271,                 1.1213,                0.59672,                0.34237,                0.31993,                0.16068,                 1.9842,                 1.7575,                 1.5268,              0.0060895,              0.0060895,              0.0060895
                    161,                 1.3033,                0.88511,                 1.1202,                0.66803,                0.32521,                0.32163,                0.15967,                 1.9894,                 1.7807,                 1.5212,              0.0060647,              0.0060647,              0.0060647
                    162,                 1.2959,                0.88249,                 1.1213,                0.63788,                 0.3154,                0.31403,                0.15778,                 1.9988,                 1.7912,                 1.5235,                0.00604,                0.00604,                0.00604
                    163,                 1.2911,                0.87132,                 1.1204,                0.59595,                0.34168,                0.31534,                0.15488,                  2.003,                 1.8449,                 1.5234,              0.0060152,              0.0060152,              0.0060152
                    164,                 1.3066,                0.88516,                 1.1197,                0.66758,                0.29125,                0.30766,                0.15068,                 2.0005,                 1.8588,                 1.5164,              0.0059905,              0.0059905,              0.0059905
                    165,                  1.295,                0.89533,                 1.1234,                0.65228,                 0.3025,                0.30814,                0.15263,                 2.0108,                 1.8452,                 1.5202,              0.0059658,              0.0059658,              0.0059658
                    166,                 1.3052,                0.89571,                 1.1247,                0.59715,                0.34163,                0.31308,                0.15679,                 2.0084,                 1.8354,                 1.5161,               0.005941,               0.005941,               0.005941
                    167,                 1.2887,                0.87985,                   1.12,                0.66148,                 0.3139,                 0.3183,                0.16087,                 2.0069,                  1.827,                 1.5141,              0.0059163,              0.0059163,              0.0059163
                    168,                 1.2972,                0.87852,                 1.1173,                0.63904,                0.31827,                 0.3125,                0.15566,                 2.0136,                 1.8385,                 1.5068,              0.0058915,              0.0058915,              0.0058915
                    169,                 1.2779,                 0.8512,                 1.1096,                0.65425,                0.31486,                0.31581,                0.16237,                 2.0053,                 1.8339,                 1.5106,              0.0058668,              0.0058668,              0.0058668
                    170,                 1.2964,                0.88014,                 1.1092,                0.60244,                0.33685,                0.31937,                 0.1597,                 2.0134,                 1.8231,                 1.5203,               0.005842,               0.005842,               0.005842
                    171,                 1.2599,                0.85652,                 1.1033,                0.60577,                0.33122,                0.31581,                0.15747,                 2.0037,                 1.8238,                 1.5148,              0.0058173,              0.0058173,              0.0058173
                    172,                 1.2742,                0.87028,                 1.1131,                0.61459,                0.32662,                0.31613,                0.15687,                 2.0056,                 1.8321,                  1.514,              0.0057925,              0.0057925,              0.0057925
                    173,                 1.2725,                0.88264,                 1.1105,                0.62245,                0.32128,                0.31098,                0.15444,                 1.9967,                 1.8104,                 1.5114,              0.0057678,              0.0057678,              0.0057678
                    174,                 1.2778,                0.86314,                 1.1164,                 0.6517,                0.31101,                0.30731,                0.14963,                 2.0004,                 1.8183,                   1.51,               0.005743,               0.005743,               0.005743
                    175,                 1.2694,                0.85993,                 1.1081,                0.52789,                 0.3059,                0.30662,                0.15209,                 1.9859,                 1.8037,                 1.5002,              0.0057183,              0.0057183,              0.0057183
                    176,                 1.2659,                0.84503,                 1.1023,                0.64144,                0.31174,                0.30708,                0.15095,                   1.98,                 1.8253,                 1.5037,              0.0056935,              0.0056935,              0.0056935
                    177,                 1.2683,                0.84842,                 1.1072,                0.62591,                0.31386,                0.30526,                0.15218,                 1.9688,                 1.8158,                 1.5005,              0.0056688,              0.0056688,              0.0056688
                    178,                 1.2758,                0.86179,                 1.1085,                 0.6373,                0.30392,                0.31026,                0.15656,                 1.9753,                 1.8264,                 1.4988,               0.005644,               0.005644,               0.005644
                    179,                 1.2702,                0.85253,                 1.1003,                0.63134,                0.31082,                0.30632,                0.15272,                 1.9752,                 1.8225,                  1.503,              0.0056193,              0.0056193,              0.0056193
                    180,                 1.2666,                 0.8431,                 1.1062,                0.61253,                0.32305,                0.30825,                0.15441,                 1.9791,                  1.841,                 1.5059,              0.0055945,              0.0055945,              0.0055945
                    181,                  1.249,                0.83264,                 1.0936,                0.61185,                0.31097,                0.30228,                0.15175,                 1.9787,                 1.8179,                 1.5044,              0.0055698,              0.0055698,              0.0055698
                    182,                 1.2381,                0.83994,                 1.0939,                0.62114,                0.31932,                0.30586,                0.15169,                 1.9722,                 1.8239,                 1.4982,               0.005545,               0.005545,               0.005545
                    183,                  1.272,                0.85897,                  1.105,                0.63203,                0.33246,                0.31124,                0.15314,                 1.9796,                 1.8212,                 1.5046,              0.0055202,              0.0055202,              0.0055202
                    184,                 1.2552,                0.84375,                 1.1005,                0.67893,                0.31521,                 0.3235,                0.16016,                 1.9779,                 1.8566,                 1.5028,              0.0054955,              0.0054955,              0.0054955
                    185,                 1.2578,                0.83506,                 1.1026,                0.64871,                0.32057,                0.31435,                0.15623,                 1.9835,                 1.8455,                 1.5035,              0.0054707,              0.0054707,              0.0054707
                    186,                 1.2514,                0.83257,                 1.0958,                0.64561,                0.30285,                0.32035,                 0.1578,                 1.9938,                 1.8328,                 1.5097,               0.005446,               0.005446,               0.005446
                    187,                 1.2403,                0.82188,                 1.0935,                0.63768,                0.31115,                 0.3246,                0.16145,                 1.9995,                 1.8303,                 1.5208,              0.0054212,              0.0054212,              0.0054212
                    188,                 1.2365,                0.83576,                 1.0948,                0.61149,                0.33912,                0.32603,                0.16031,                 1.9898,                 1.8536,                 1.5129,              0.0053965,              0.0053965,              0.0053965
                    189,                 1.2502,                0.83632,                 1.0993,                0.64178,                0.31901,                0.32536,                 0.1629,                 1.9874,                 1.8562,                  1.512,              0.0053717,              0.0053717,              0.0053717
                    190,                 1.2432,                0.81867,                 1.0942,                0.50676,                0.33243,                0.31477,                0.15697,                 1.9965,                 1.8645,                 1.5161,               0.005347,               0.005347,               0.005347
                    191,                 1.2544,                0.82552,                 1.0929,                0.52681,                0.31039,                 0.3104,                0.15405,                  2.007,                 1.8755,                 1.5226,              0.0053223,              0.0053223,              0.0053223
                    192,                 1.2278,                0.81775,                 1.0885,                 0.5275,                0.32518,                0.31633,                0.15978,                 2.0089,                 1.8878,                 1.5284,              0.0052975,              0.0052975,              0.0052975
